Region,Council,Swim site,Date,Time,Enterococci (cfu/100mL),Water temperature (°C),Conductivity (µS/cm),Latitude,Longitude
Sydney City,Randwick City Council,Malabar Beach,13/12/2014,10:41:00,7,20,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,19/12/2014,08:15:00,17,20,52400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,28/12/2014,08:33:00,10,21,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/1/2015,08:18:00,570,21,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,15/1/2015,11:05:00,10,24,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/1/2015,07:37:00,110,737,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,29/1/2015,07:15:00,8,20,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,6/2/2015,10:30:00,61,23,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,14/2/2015,11:22:00,16,25,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,22/2/2015,10:11:00,8,23,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/2/2015,10:20:00,2,23,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/3/2015,07:08:00,24,21,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,9/3/2015,10:44:00,45,23,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/3/2015,10:09:00,6,21,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,25/3/2015,11:09:00,31,22,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,1/4/2015,10:17:00,50,22,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,9/4/2015,08:34:00,10,20,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/4/2015,07:44:00,900,20,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/4/2015,07:30:00,21,19,52500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/5/2015,11:23:00,4,20,52400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,11/5/2015,08:00:00,40,17,52700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/5/2015,09:20:00,15,18,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,22/5/2015,11:40:00,190,18,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/5/2015,11:06:00,0,18,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,3/6/2015,08:45:00,45,17,54700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,9/6/2015,11:45:00,2,18,54900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,15/6/2015,08:36:00,12,17,54600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,20/6/2015,10:55:00,12,17,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,26/6/2015,09:00:00,4,17,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,2/7/2015,06:59:00,78,14,54500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/7/2015,08:16:00,28,15,49300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,15/7/2015,11:00:00,10,16,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/7/2015,08:25:00,8,15,52100,-33.96436,151.252247
